zdish_id,name,cuisine,ingredients,ingredient_count,cooking_time,difficulty,rating,calories,servings,spicy,sweet,sour,salty,umami,fresh,creamy,smoky,diet_type,meal_type,region,description
1,Butter Chicken,Indian,"chicken, tomatoes, cream, butter, onions, garlic, ginger, garam masala, cumin, coriander",10,45,Medium,4.7,520,4,3,2,1,2,4,2,5,3,Non-Vegetarian,Dinner,North India,Rich and creamy tomato-based curry with tender chicken pieces
2,Masala Dosa,Indian,"rice, black gram, fenugreek seeds, potatoes, onions, mustard seeds, curry leaves, turmeric, green chilies",9,120,Hard,4.8,280,2,2,1,2,3,2,3,1,1,Vegetarian,Breakfast,South India,Crispy fermented crepe filled with spiced potato curry
3,Chicken Biryani,Indian,"basmati rice, chicken, yogurt, onions, saffron, cardamom, cinnamon, bay leaves, mint, ghee, ginger, garlic",10,90,Hard,4.9,650,6,3,1,1,4,4,2,2,4,Non-Vegetarian,Lunch,Hyderabad,Fragrant layered rice dish with marinated meat and aromatic spices
4,Dal Makhani,Indian,"black lentils, kidney beans, cream, butter, tomatoes, onions, garlic, ginger, cumin, garam masala",10,180,Medium,4.6,380,4,2,1,1,2,4,2,4,2,Vegetarian,Dinner,Punjab,Slow-cooked creamy black lentil curry with rich butter and cream
5,Samosa,Indian,"flour, potatoes, peas, onions, cumin seeds, coriander seeds, garam masala, green chilies, oil",9,60,Medium,4.5,250,4,3,1,2,3,2,3,1,1,Vegetarian,Snack,North India,Crispy triangular pastry filled with spiced potato and pea mixture
6,Tandoori Chicken,Indian,"chicken, yogurt, lemon juice, garlic, ginger, red chili powder, turmeric, garam masala, cumin",9,240,Medium,4.7,320,4,4,1,2,2,3,2,1,5,Non-Vegetarian,Dinner,Punjab,Marinated chicken cooked in traditional clay oven with smoky flavor
7,Palak Paneer,Indian,"spinach, paneer, onions, tomatoes, garlic, ginger, cumin, coriander, garam masala, cream",10,30,Easy,4.4,290,4,2,1,1,2,3,4,3,1,Vegetarian,Lunch,North India,Creamy spinach curry with soft cottage cheese cubes
8,Chole Bhature,Indian,"chickpeas, flour, yogurt, onions, tomatoes, ginger, garlic, cumin, coriander, amchur, oil",11,90,Medium,4.6,550,4,3,1,2,3,3,2,2,1,Vegetarian,Lunch,Punjab,Spicy chickpea curry served with fluffy deep-fried bread
9,Fish Curry,Indian,"fish, coconut milk, onions, tomatoes, green chilies, ginger, garlic, turmeric, red chili powder, curry leaves",10,25,Easy,4.5,340,4,3,1,2,2,3,3,4,1,Non-Vegetarian,Lunch,Kerala,Tangy coconut-based fish curry with aromatic spices
10,Rajma,Indian,"kidney beans, onions, tomatoes, ginger, garlic, cumin, coriander, garam masala, red chili powder",9,120,Medium,4.3,320,4,2,1,1,2,4,2,2,1,Vegetarian,Lunch,North India,Hearty red kidney bean curry in spiced tomato gravy
11,Pani Puri,Indian,"semolina, flour, potatoes, chickpeas, tamarind, mint, coriander, black salt, chaat masala",9,30,Easy,4.8,45,6,2,3,4,4,2,4,1,1,Vegetarian,Snack,Western India,Crispy hollow shells filled with spiced water and tangy chutneys
12,Vindaloo,Indian,"pork, vinegar, red chilies, garlic, ginger, cumin, coriander, turmeric, onions, jaggery",10,90,Hard,4.4,420,4,5,2,4,2,3,2,1,2,Non-Vegetarian,Dinner,Goa,Fiery Portuguese-influenced curry with vinegar and intense spices
13,Idli,Indian,"rice, black gram, fenugreek seeds, salt",4,480,Medium,4.7,120,4,0,0,0,1,1,3,0,0,Vegetarian,Breakfast,South India,Soft steamed rice cakes made from fermented batter
14,Rogan Josh,Indian,"lamb, yogurt, onions, garlic, ginger, fennel powder, garam masala, red chili powder, saffron",9,120,Hard,4.6,480,4,3,1,1,2,4,2,2,3,Non-Vegetarian,Dinner,Kashmir,Aromatic lamb curry with rich red gravy and Kashmiri spices
15,Aloo Gobi,Indian,"potatoes, cauliflower, onions, tomatoes, ginger, garlic, turmeric, cumin, coriander, green chilies",10,25,Easy,4.2,180,4,2,1,1,2,2,3,1,1,Vegetarian,Lunch,North India,Dry curry with spiced potatoes and cauliflower
16,Dhokla,Indian,"gram flour, semolina, yogurt, ginger, green chilies, mustard seeds, sesame seeds, curry leaves",8,45,Medium,4.5,150,6,1,2,2,2,2,3,1,1,Vegetarian,Snack,Gujarat,Steamed savory sponge cake made from fermented chickpea flour
17,Mutton Curry,Indian,"mutton, onions, tomatoes, yogurt, ginger, garlic, red chili powder, turmeric, garam masala, coriander",10,90,Hard,4.5,520,4,3,1,1,2,5,2,2,2,Non-Vegetarian,Dinner,South India,Rich and spicy mutton curry with aromatic spices
18,Poha,Indian,"flattened rice, onions, potatoes, peanuts, mustard seeds, turmeric, curry leaves, green chilies, lemon",9,15,Easy,4.3,220,4,1,1,2,2,2,3,1,1,Vegetarian,Breakfast,Maharashtra,Light flattened rice dish with vegetables and aromatic tempering
19,Seekh Kebab,Indian,"minced meat, onions, ginger, garlic, mint, coriander, red chili powder, garam masala, cumin",9,30,Medium,4.6,280,4,3,0,1,2,4,2,1,4,Non-Vegetarian,Appetizer,North India,Grilled spiced minced meat skewers with smoky flavor
20,Upma,Indian,"semolina, onions, green chilies, ginger, mustard seeds, curry leaves, cashews, ghee",8,15,Easy,4.1,200,4,1,0,1,2,2,2,2,1,Vegetarian,Breakfast,South India,Savory semolina porridge with vegetables and tempering
21,Prawn Curry,Indian,"prawns, coconut, onions, tomatoes, ginger, garlic, red chilies, turmeric, curry leaves, tamarind",10,25,Medium,4.6,280,4,3,1,3,2,4,3,3,1,Non-Vegetarian,Lunch,Coastal India,Tangy coconut-based prawn curry with coastal spices
22,Kadhi Pakora,Indian,"gram flour, yogurt, onions, ginger, garlic, turmeric, cumin seeds, mustard seeds, fenugreek leaves",9,45,Medium,4.4,260,4,1,1,2,2,2,2,3,1,Vegetarian,Lunch,North India,Tangy yogurt-based curry with fried gram flour dumplings
23,Medu Vada,Indian,"black gram, ginger, green chilies, curry leaves, black pepper, cumin seeds, oil",7,30,Medium,4.5,180,4,1,0,0,2,2,3,1,1,Vegetarian,Breakfast,South India,Crispy deep-fried lentil donuts with aromatic spices
24,Chicken Tikka,Indian,"chicken, yogurt, lemon juice, ginger, garlic, red chili powder, turmeric, garam masala",8,180,Medium,4.7,240,4,3,1,2,2,3,2,2,4,Non-Vegetarian,Appetizer,North India,Marinated grilled chicken pieces with tandoori spices
25,Rasam,Indian,"tomatoes, tamarind, lentils, black pepper, cumin, coriander seeds, curry leaves, asafoetida, ghee",9,30,Easy,4.4,80,4,2,1,3,2,3,4,1,1,Vegetarian,Soup,South India,Tangy South Indian soup with tomatoes and aromatic spices
26,Gulab Jamun,Indian,"milk solids, sugar, cardamom, flour, rose water, ghee",6,45,Medium,4.8,350,4,0,5,0,0,1,1,2,0,Vegetarian,Dessert,North India,"Soft, deep-fried milk dumplings soaked in a rose-flavored sugar syrup"
27,Jalebi,Indian,"all-purpose flour, yogurt, sugar, saffron, cardamom, oil",6,30,Easy,4.6,380,4,0,5,1,0,1,1,0,0,Vegetarian,Dessert,North India,"Crispy, syrupy, spiral-shaped fritters soaked in sugar syrup"
28,Rasgulla,Indian,"chenna, sugar, cardamom, rose water",4,60,Medium,4.7,250,4,0,4,0,0,1,1,0,0,Vegetarian,Dessert,Odisha/Bengal,Spongy cottage cheese balls soaked in a light sugar syrup
29,Kheer,Indian,"rice, milk, sugar, cardamom, saffron, nuts",6,60,Easy,4.5,320,4,0,4,0,1,2,1,5,0,Vegetarian,Dessert,Pan-Indian,"Creamy rice pudding with milk, sugar, and aromatic spices"
30,Malai Kofta,Indian,"paneer, potatoes, cream, cashews, tomatoes, onions, ginger, garlic, spices",9,45,Medium,4.6,450,4,2,2,1,2,4,2,5,0,Vegetarian,Dinner,North India,"Fried vegetable and paneer dumplings in a rich, creamy gravy"
31,Mattar Paneer,Indian,"paneer, peas, tomatoes, onions, garlic, ginger, garam masala, cumin, coriander",9,30,Easy,4.3,310,4,2,1,1,2,3,2,3,1,Vegetarian,Dinner,North India,A classic curry with cottage cheese cubes and green peas
